model,benchmark,size
Phi-4-Mini,BFCL,0
Phi-4-Mini,HumanEval,0
Phi-4-Mini,MBPP,3
Gemma 3,MMLU-Pro,0
Gemma 3,LiveCodeBench,0
Gemma 3,Bird-SQL (dev),0
Gemma 3,GPQA Diamond,0
Gemma 3,SimpleQA,0
Gemma 3,FACTS Grounding,0
Gemma 3,MATH,0
Gemma 3,HiddenMath,0
Gemma 3,MMMU,0
Gemma 3,DocVQA,4
Gemma 3,InfoVQA,4
Gemma 3,TextVQA,4
Gemma 3,MBPP,3
Gemma 3,HumanEval,0
Gemma 3,HellaSwag,10
Gemma 3,BoolQ,0
Gemma 3,PIQA,0
Gemma 3,SIQA,0
Gemma 3,TriviaQA,5
Gemma 3,Natural Questions,5
Gemma 3,ARC-C,25
Gemma 3,ARC-E,0
Gemma 3,WinoGrande,5
Gemma 3,BigBench-Hard,3
Gemma 3,DROP,1
Gemma 3,AGIEval,5
Gemma 3,MMLU,5
Gemma 3,MATH,4
Gemma 3,GSM8K,8
Gemma 3,GPQA,5
Gemma 3,MMLU-Pro,5
Gemma 3,MGSM,8
Gemma 3,FloRes,1
Gemma 3,XQuAD,5
Gemma 3,WMT24++,5
Gemma 3,ECLeKTic,2
Gemma 3,XQuAD Indic,5
Gemma 3,XOR QA IN-EN,5
Gemma 3,XOR QA IN-XX,5
Gemma 3,FloRes Indic,5
Gemma 3,RULER,0
OLMo 2,ARC-C,5
OLMo 2,ARC-E,5
OLMo 2,BoolQ,5
OLMo 2,CommonsenseQA,5
OLMo 2,HellaSwag,5
OLMo 2,MMLU,5
OLMo 2,OpenbookQA,5
OLMo 2,PIQA,5
OLMo 2,SIQA,5
OLMo 2,WinoGrande,5
OLMo 2,CoQA,0
OLMo 2,DROP,5
OLMo 2,Jeopardy,5
OLMo 2,Natural Questions,5
OLMo 2,SQuAD,5
OLMo 2,AGIEval,5
OLMo 2,BigBench-Hard,3
OLMo 2,GSM8K,8
OLMo 2,MMLU-Pro,5
OLMo 2,TriviaQA,5
Llama 3,MMLU,0
Llama 3,MMLU,5
Llama 3,MMLU-Pro,5
Llama 3,IFEval,0
Llama 3,HumanEval,0
Llama 3,MBPP+,0
Llama 3,GSM8K,8
Llama 3,MATH,0
Llama 3,ARC-C,0
Llama 3,GPQA,0
Llama 3,MSGM,0
Tulu 3,MMLU,0
Tulu 3,PopQA,15
Tulu 3,TruthfulQA,6
Tulu 3,BigBench-Hard,3
Tulu 3,DROP,3
Tulu 3,MATH,4
Tulu 3,GSM8K,8
Tulu 3,HumanEval,0
Tulu 3,HumanEval+,0
Tulu 3,IFEval,0
AIMv2,ImageNet-1K,1_281_167
AIMv2,iNat2018,437_513
AIMv2,CIFAR-10,50_000
AIMv2,CIFAR-100,50_000
AIMv2,Food-101,75_750
AIMv2,Textures,3_760
AIMv2,Oxford-IIIT Pets,3_680
AIMv2,Stanford Cars,8_144
AIMv2,Chamelyon17,302_436
AIMv2,PCAM,262_144
AIMv2,RxRx1,40_612
AIMv2,EuroSAT,16_200
AIMv2,fMoW,76_863
AIMv2,Infograph,36_023
V-JEPA,ImageNet-1K,1_281_167
V-JEPA,Kinetics400,245_495
V-JEPA,SomethingSomethingV2,168_913
V-JEPA,Places205,2_500_000
V-JEPA,iNat2021,2_700_000
V-JEPA,AVA,211_000
